Vgs_1.6,Ids_1.6,Vgs_1.6500000000000001,Ids_1.6500000000000001,Vgs_1.7000000000000002,Ids_1.7000000000000002,Vgs_1.7500000000000002,Ids_1.7500000000000002,Vgs_1.8000000000000003,Ids_1.8000000000000003,Vgs_1.8500000000000003,Ids_1.8500000000000003,Vgs_1.9000000000000004,Ids_1.9000000000000004,Vgs_1.9500000000000004,Ids_1.9500000000000004,Vgs_2.0000000000000004,Ids_2.0000000000000004,Vgs_2.0500000000000007,Ids_2.0500000000000007,Vgs_2.1000000000000005,Ids_2.1000000000000005,Vgs_2.1500000000000004,Ids_2.1500000000000004,Vgs_2.2000000000000006,Ids_2.2000000000000006
1.599,0.0,1.65,0.003,1.699,0.005,1.749,0.009,1.8,0.017,1.85,0.029,1.899,0.048,1.95,0.077,2.0,0.119,2.049,0.175,2.099,0.249,2.15,0.336,2.199,0.434
1.6,0.002,1.65,0.003,1.699,0.005,1.749,0.009,1.8,0.017,1.85,0.029,1.899,0.048,1.95,0.078,2.0,0.12,2.049,0.177,2.099,0.252,2.15,0.342,2.199,0.442
1.599,0.002,1.65,0.003,1.699,0.005,1.749,0.009,1.8,0.017,1.85,0.029,1.899,0.048,1.95,0.078,2.0,0.121,2.049,0.18,2.099,0.256,2.15,0.348,2.199,0.451
1.599,0.0,1.65,0.003,1.699,0.005,1.749,0.01,1.8,0.017,1.85,0.029,1.899,0.049,1.95,0.079,2.0,0.123,2.049,0.182,2.099,0.26,2.15,0.354,2.199,0.46
1.6,0.002,1.65,0.003,1.699,0.005,1.749,0.01,1.8,0.017,1.85,0.029,1.899,0.049,1.95,0.08,2.0,0.124,2.049,0.184,2.099,0.263,2.15,0.359,2.199,0.468
1.6,0.002,1.65,0.003,1.699,0.005,1.749,0.01,1.8,0.017,1.85,0.03,1.899,0.05,1.95,0.081,2.0,0.125,2.049,0.186,2.099,0.267,2.15,0.364,2.199,0.476
1.599,0.002,1.65,0.003,1.699,0.006,1.749,0.01,1.8,0.017,1.85,0.03,1.899,0.05,1.95,0.081,2.0,0.126,2.049,0.188,2.099,0.27,2.15,0.369,2.199,0.484
1.6,0.002,1.65,0.003,1.699,0.006,1.749,0.01,1.8,0.017,1.85,0.03,1.899,0.05,1.95,0.082,2.0,0.127,2.049,0.19,2.099,0.273,2.15,0.374,2.199,0.491
1.6,0.002,1.65,0.003,1.699,0.006,1.749,0.01,1.8,0.017,1.85,0.03,1.899,0.051,1.95,0.082,2.0,0.128,2.049,0.192,2.099,0.276,2.15,0.379,2.199,0.498
1.599,0.002,1.65,0.003,1.699,0.006,1.749,0.01,1.8,0.018,1.85,0.03,1.899,0.051,1.95,0.083,2.0,0.129,2.049,0.193,2.099,0.279,2.15,0.384,2.199,0.505
1.6,0.002,1.65,0.003,1.699,0.006,1.749,0.01,1.8,0.018,1.85,0.031,1.899,0.051,1.95,0.084,2.0,0.13,2.049,0.195,2.099,0.281,2.15,0.388,2.199,0.512
1.6,0.002,1.65,0.003,1.699,0.006,1.749,0.01,1.8,0.018,1.85,0.031,1.899,0.052,1.95,0.084,2.0,0.131,2.049,0.196,2.099,0.284,2.15,0.392,2.199,0.518
1.599,0.002,1.65,0.003,1.699,0.006,1.749,0.01,1.8,0.018,1.85,0.031,1.899,0.052,1.95,0.085,2.0,0.132,2.049,0.198,2.099,0.286,2.15,0.395,2.199,0.524
1.6,0.002,1.65,0.003,1.699,0.006,1.749,0.01,1.8,0.018,1.85,0.031,1.899,0.052,1.95,0.085,2.0,0.133,2.049,0.199,2.099,0.288,2.15,0.399,2.199,0.529
1.6,0.002,1.65,0.003,1.699,0.006,1.749,0.01,1.8,0.018,1.85,0.031,1.899,0.052,1.95,0.085,2.0,0.134,2.049,0.2,2.099,0.29,2.15,0.402,2.199,0.535
1.599,0.002,1.65,0.003,1.699,0.006,1.749,0.01,1.8,0.018,1.85,0.031,1.899,0.053,1.95,0.086,2.0,0.134,2.049,0.202,2.099,0.293,2.15,0.406,2.199,0.54
1.6,0.002,1.65,0.003,1.699,0.006,1.749,0.01,1.8,0.018,1.85,0.031,1.899,0.053,1.95,0.086,2.0,0.135,2.049,0.203,2.099,0.294,2.15,0.409,2.199,0.545
1.6,0.002,1.65,0.003,1.699,0.006,1.749,0.01,1.8,0.018,1.85,0.032,1.899,0.053,1.95,0.087,2.0,0.136,2.049,0.204,2.099,0.297,2.15,0.412,2.199,0.55
1.599,0.0,1.65,0.003,1.699,0.006,1.749,0.01,1.8,0.018,1.85,0.032,1.899,0.053,1.95,0.087,2.0,0.136,2.049,0.205,2.099,0.298,2.15,0.415,2.199,0.555
1.6,0.002,1.65,0.003,1.699,0.006,1.749,0.01,1.8,0.018,1.85,0.032,1.899,0.053,1.95,0.088,2.0,0.137,2.049,0.206,2.099,0.3,2.15,0.418,2.199,0.559
1.6,0.002,1.65,0.003,1.699,0.006,1.749,0.01,1.8,0.018,1.85,0.032,1.899,0.054,1.95,0.088,2.0,0.138,2.049,0.207,2.099,0.302,2.15,0.421,2.199,0.563
1.599,0.002,1.65,0.003,1.699,0.006,1.749,0.01,1.8,0.018,1.85,0.032,1.899,0.054,1.95,0.088,2.0,0.138,2.049,0.208,2.099,0.303,2.15,0.423,2.199,0.568
1.599,0.0,1.65,0.003,1.699,0.006,1.749,0.01,1.8,0.019,1.85,0.032,1.899,0.054,1.95,0.089,2.0,0.139,2.049,0.209,2.099,0.305,2.15,0.426,2.199,0.571
1.6,0.002,1.65,0.003,1.699,0.006,1.749,0.01,1.8,0.019,1.85,0.032,1.899,0.054,1.95,0.089,2.0,0.139,2.049,0.21,2.099,0.307,2.15,0.429,2.199,0.575
1.599,0.002,1.65,0.003,1.7,0.006,1.749,0.01,1.8,0.019,1.85,0.032,1.899,0.055,1.95,0.089,2.0,0.14,2.049,0.211,2.099,0.308,2.15,0.43,2.199,0.579
1.599,0.0,1.65,0.003,1.699,0.006,1.749,0.011,1.8,0.019,1.85,0.033,1.899,0.055,1.95,0.09,2.0,0.141,2.049,0.212,2.099,0.309,2.15,0.433,2.199,0.583
1.6,0.002,1.65,0.003,1.699,0.006,1.749,0.011,1.8,0.019,1.85,0.033,1.899,0.055,1.95,0.09,2.0,0.141,2.049,0.213,2.099,0.311,2.15,0.436,2.199,0.586
1.599,0.002,1.65,0.003,1.699,0.006,1.749,0.011,1.8,0.019,1.85,0.033,1.899,0.055,1.95,0.09,2.0,0.142,2.049,0.214,2.099,0.312,2.15,0.437,2.199,0.59
1.599,0.0,1.65,0.003,1.699,0.006,1.749,0.011,1.8,0.019,1.85,0.033,1.899,0.055,1.95,0.091,2.0,0.142,2.049,0.215,2.099,0.314,2.15,0.44,2.199,0.593
1.6,0.002,1.65,0.003,1.699,0.006,1.749,0.011,1.8,0.019,1.85,0.033,1.899,0.056,1.95,0.091,2.0,0.143,2.049,0.215,2.099,0.315,2.15,0.442,2.199,0.597
1.6,0.002,1.65,0.003,1.699,0.006,1.749,0.011,1.8,0.019,1.85,0.033,1.899,0.056,1.95,0.091,2.0,0.143,2.049,0.216,2.099,0.316,2.15,0.444,2.199,0.6
1.599,0.0,1.65,0.003,1.699,0.006,1.749,0.011,1.8,0.019,1.85,0.033,1.899,0.056,1.95,0.092,2.0,0.144,2.049,0.217,2.099,0.318,2.15,0.446,2.199,0.603
1.6,0.002,1.65,0.003,1.699,0.006,1.749,0.011,1.8,0.019,1.85,0.033,1.899,0.056,1.95,0.092,2.0,0.144,2.049,0.218,2.099,0.318,2.15,0.448,2.199,0.605
1.6,0.002,1.65,0.003,1.699,0.006,1.749,0.011,1.8,0.019,1.85,0.033,1.899,0.056,1.95,0.092,2.0,0.144,2.049,0.218,2.099,0.32,2.15,0.449,2.199,0.608
1.599,0.0,1.65,0.003,1.699,0.006,1.749,0.011,1.8,0.019,1.85,0.034,1.899,0.056,1.95,0.092,2.0,0.145,2.049,0.219,2.099,0.321,2.15,0.451,2.199,0.61
1.6,0.002,1.65,0.003,1.7,0.006,1.749,0.011,1.8,0.019,1.85,0.034,1.899,0.056,1.95,0.093,2.0,0.145,2.049,0.22,2.099,0.322,2.15,0.453,2.199,0.613
